id-mark;id-student;id-descipline;mark-mark;id-type-exam
1;1;1;5;1
2;1;2;4;1
3;1;3;3;2
4;2;1;5;1
5;2;2;2;1
6;2;3;3;2
7;3;1;4;1
8;3;2;5;1
9;3;3;2;2
10;4;1;5;1
11;4;2;4;1
12;4;3;2;2
13;5;1;3;1
14;5;2;4;1
15;5;3;4;2
16;6;1;4;1
17;6;2;5;1
18;6;3;3;2
19;7;1;3;1
20;7;2;5;1
21;7;3;5;2
22;8;1;3;1
23;8;2;2;1
24;8;3;5;2
25;9;1;3;1
26;9;2;3;1
27;9;3;4;2
28;10;1;4;1
29;10;2;5;1
30;10;3;3;2
31;11;1;5;1
32;11;2;2;1
33;11;3;4;2
34;12;1;3;1
35;12;2;5;1
36;12;3;5;2
37;13;1;5;1
38;13;2;3;1
39;13;3;3;2
40;14;1;3;1
41;14;2;4;1
42;14;3;3;2
43;15;1;4;1
44;15;2;3;1
45;15;3;5;2
